Coin,Volatility,Risk,Moonshot Score
Celer Network (CELR),40,10,100x
Cartesi (CTSI),10,7,5x
Mina Protocol (MINA),30,10,15x
SingularityNET (AGIX),20,5,5x
Render Network (RNDR),40,7,20x
Persistence (XPRT),35,3,15x
Oasis Network (ROSE),15,3,3x
Ark (ARK),10,10,5x
SKALE (SKL),30,5,10x
Aergo (AERGO),10,3,3x
Bluzelle (BLZ),40,5,10x
Kujira (KUJI),10,7,5x
Aurora (AURORA),10,5,3x
Boba Network (BOBA),25,7,10x
Canto (CANTO),40,10,100x
Cortex (CTXC),15,7,5x
Dora Factory (DORA),10,3,3x
Ergo (ERG),30,3,10x
e-Radix (EXRD),10,5,3x
Evmos (EVMOS),30,5,10x
Horizon Protocol (HZN),25,5,10x
IoTexPad (TEX),35,10,15x
IRISnet (IRIS),20,7,5x
KILT Protocol (KILT),30,5,10x
Loom Network (LOOM),20,10,5x
Mdex (MDX),25,10,15x
MetisDAO (METIS),10,7,5x
Milkomeda (MILK),40,7,20x
Morpheus Labs (MITX),35,5,15x
MyNeighborAlice (ALICE),35,10,15x
NEARPad (PAD),40,7,20x
OpenOcean (OOE),35,7,15x
Oraichain (ORAI),35,3,15x
Parallel Finance (PARA),15,3,3x
Perpetual Protocol (PERP),30,3,10x
Phantom (FTM2),35,7,15x
PlatON Network (LAT),25,7,10x
Polymesh (POLYX),35,5,15x
Prometeus (PROM),10,7,5x
Qredo (QRDO),10,5,3x
Rari Governance (RGT),40,10,100x
Razor Network (RAZOR),20,7,5x
RMRK (RMRK),35,3,15x
Rubic (RBC),35,7,15x
Saito (SAITO),40,5,10x
SelfKey (KEY),15,7,5x
Shyft Network (SHFT),15,10,5x
Songbird (SGB),20,10,5x
Starname (IOV),20,5,5x
SundaeSwap (SUNDAE),10,10,5x
Tellor (TRB),40,5,10x
Umee (UMEE),30,5,10x
Verasity (VRA),20,5,5x
Lisk (LSK),10,5,3x
Dvision Network (DVI),40,3,10x
XYO Network (XYO),15,3,3x
TomoChain (TOMO),25,3,10x
Swingby (SWINGBY),25,5,10x
Propy (PRO),10,10,5x
Utrust (UTK),30,5,10x
Wanchain (WAN),40,10,100x
Syscoin (SYS),20,5,5x
VeChain (VET),20,3,5x
Moonwell (MFAM),40,3,10x
Origin Dollar Governance (OGV),40,3,10x
Haven Protocol (XHV),30,3,10x
LCX (LCX),30,3,10x
Xido Finance (XIDO),30,10,15x
Boson Protocol (BOSON),35,7,15x
DFINITY Internet Identity (DID),40,3,10x
RAMP (RAMP),10,3,3x
Verge (XVG),10,5,3x
GNY (GNY),35,7,15x
VIDT DAO (VIDT),30,10,15x
World Mobile Token (WMT),10,10,5x
Klever (KLV),20,10,5x
Ambire Wallet (WALLET),25,5,10x
Meter Governance (MTRG),30,3,10x
Bifrost (BFC),30,5,10x
Unifi Protocol DAO (UNFI),20,10,5x
VIDYA (VIDYA),15,5,3x
Marblex (MBX),40,7,20x
WazirX (WRX),40,7,20x
Ternoa (CAPS),15,3,3x
MUX Protocol (MCB),15,10,5x
HOPR (HOPR),15,5,3x
QuickSwap (QUICK),35,5,15x
Tokamak Network (TON),25,10,15x
Orion Protocol (ORN),25,7,10x
Polkastarter (POLS),30,5,10x
Rook (ROOK),35,10,15x
DIA (DIA),15,10,5x
Lit Protocol (LIT),10,7,5x
Battle World (BWO),25,7,10x
PowerLedger (POWR),30,10,15x
CUDOS (CUDOS),25,5,10x
Maple Finance (MPL),30,7,10x
Crust Network (CRU),15,5,3x
DeGate (DG),15,7,5x
Router Protocol (ROUTE),10,5,3x
Fuse Network (FUSE),20,3,5x
Gearbox Protocol (GEAR),40,7,20x
